"GeoFips","GeoName","2008","2009","2010","2011","2012","2013","2014"
"00999","United States (Nonmetropolitan Portion)",36354,35630,35800,37112,37732,37911,38595
"10180","Abilene, TX (Metropolitan Statistical Area)",38365,36414,36701,38046,39282,39594,40372
"10420","Akron, OH (Metropolitan Statistical Area)",42497,41692,41982,43040,44028,44080,45007
"10500","Albany, GA (Metropolitan Statistical Area)",35958,35721,35843,37318,36853,36697,36923
"10540","Albany, OR (Metropolitan Statistical Area)",30880,30954,31168,31613,32326,32482,33537
"10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",42809,43481,44376,45034,45742,45553,46255
"10740","Albuquerque, NM (Metropolitan Statistical Area)",36575,35315,34827,35141,35187,34491,35354
"10780","Alexandria, LA (Metropolitan Statistical Area)",41527,41593,40616,40509,41011,40149,39992
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",40722,39281,39926,40364,40515,40345,41446
"11020","Altoona, PA (Metropolitan Statistical Area)",36919,37389,37492,38160,38216,38274,39217
"11100","Amarillo, TX (Metropolitan Statistical Area)",38170,36624,38247,39154,39800,39539,41016
"11180","Ames, IA (Metropolitan Statistical Area)",48627,42476,42050,42678,40951,38035,38764
"11260","Anchorage, AK (Metropolitan Statistical Area)",46223,44833,45999,47381,48534,46534,47970
"11460","Ann Arbor, MI (Metropolitan Statistical Area)",43186,39864,42963,41628,42963,42779,43652
"11500","Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",36362,36396,36655,36678,35684,34550,35616
"11540","Appleton, WI (Metropolitan Statistical Area)",41966,41347,40730,41727,42370,42459,43477
"11700","Asheville, NC (Metropolitan Statistical Area)",36828,36114,35598,35848,37255,35562,36027
"12020","Athens-Clarke County, GA (Metropolitan Statistical Area)",31852,30976,30834,32050,32362,32478,33419
"12060","Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",41362,39358,39205,41078,41197,40831,41833
"12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",35818,36026,36237,37314,37088,36222,37263
"12220","Auburn-Opelika, AL (Metropolitan Statistical Area)",35647,33233,33857,34593,34924,34421,35468
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",36362,36501,36658,37501,36890,36442,37230
"12420","Austin-Round Rock, TX (Metropolitan Statistical Area)",41646,39380,40153,41588,43593,42964,43715
"12540","Bakersfield, CA (Metropolitan Statistical Area)",30830,29599,30473,31499,33228,33585,34022
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",44832,44131,44157,45270,46074,44996,45765
"12620","Bangor, ME (Metropolitan Statistical Area)",33951,34309,34146,34250,34344,33785,34450
"12700","Barnstable Town, MA (Metropolitan Statistical Area)",47981,48167,48905,51202,52867,52753,54088
"12940","Baton Rouge, LA (Metropolitan Statistical Area)",40368,39774,39972,40816,41101,41182,41693
"12980","Battle Creek, MI (Metropolitan Statistical Area)",34463,33953,34310,34782,34893,34996,35231
"13020","Bay City, MI (Metropolitan Statistical Area)",35644,35299,36690,37321,36989,36177,37150
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",37473,37191,37941,38542,39838,38353,40500
"13220","Beckley, WV (Metropolitan Statistical Area)",40713,41240,39921,42406,43432,40399,39316
"13380","Bellingham, WA (Metropolitan Statistical Area)",37562,35981,35954,36494,37459,36947,37556
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)",39001,36887,36754,38027,38746,39116,40012
"13740","Billings, MT (Metropolitan Statistical Area)",40599,37899,38668,40219,42029,39664,40148
"13780","Binghamton, NY (Metropolitan Statistical Area)",35784,36339,36500,36812,36968,36681,36877
"13820","Birmingham-Hoover, AL (Metropolitan Statistical Area)",44875,42402,43043,43914,45077,44094,45311
"13900","Bismarck, ND (Metropolitan Statistical Area)",41188,41456,43496,46016,49062,48448,49146
"13980","Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",32757,32380,31676,32408,33568,33162,34038
"14010","Bloomington, IL (Metropolitan Statistical Area)",41950,41404,41603,42973,42898,43260,42106
"14020","Bloomington, IN (Metropolitan Statistical Area)",33125,31813,31750,31868,32397,31784,32647
"14100","Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",37364,37064,37844,39459,39718,39661,39759
"14260","Boise City, ID (Metropolitan Statistical Area)",36516,34907,35220,35306,36002,36242,36750
"14460","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",51018,49448,50099,51642,53208,52267,53632
"14500","Boulder, CO (Metropolitan Statistical Area)",48776,45320,46356,46807,48121,47939,49440
"14540","Bowling Green, KY (Metropolitan Statistical Area)",35715,34231,34831,35657,35560,35433,36020
"14740","Bremerton-Silverdale, WA (Metropolitan Statistical Area)",41613,39856,39391,39210,39688,39295,40812
"14860","Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",72254,67592,71506,73262,76522,73248,75426
"15180","Brownsville-Harlingen, TX (Metropolitan Statistical Area)",25755,26222,26615,26597,26660,26673,27290
"15260","Brunswick, GA (Metropolitan Statistical Area)",38651,36873,35374,36810,36542,36361,36574
"15380","Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)",39397,40158,41002,41972,42556,42143,42864
"15500","Burlington, NC (Metropolitan Statistical Area)",35847,34837,34908,35080,36270,34768,35407
"15540","Burlington-South Burlington, VT (Metropolitan Statistical Area)",42083,41088,41533,43734,44271,43891,44343
"15680","California-Lexington Park, MD (Metropolitan Statistical Area)",46838,46462,47184,47805,46874,46411,47065
"15940","Canton-Massillon, OH (Metropolitan Statistical Area)",38392,37329,37857,39701,40567,40387,41274
"15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",39814,38673,37768,40445,40029,40201,40875
"16020","Cape Girardeau, MO-IL (Metropolitan Statistical Area)",40766,41322,40539,40488,41146,40580,41340
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)",38598,39372,39587,39020,38892,39140,39422
"16180","Carson City, NV (Metropolitan Statistical Area)",37906,36712,36674,37102,37245,37745,39401
"16220","Casper, WY (Metropolitan Statistical Area)",58807,48719,50052,52527,53961,53793,56274
"16300","Cedar Rapids, IA (Metropolitan Statistical Area)",44728,44323,44514,45301,46260,46068,47097
"16540","Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",36655,36943,37173,38261,38194,38243,39095
"16580","Champaign-Urbana, IL (Metropolitan Statistical Area)",37698,38018,37671,37631,37806,38131,38650
"16620","Charleston, WV (Metropolitan Statistical Area)",43587,42268,42147,43576,43593,42655,43475
"16700","Charleston-North Charleston, SC (Metropolitan Statistical Area)",39313,38670,39123,39348,40651,38876,39477
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",41654,39337,40038,40698,42613,40697,41724
"16820","Charlottesville, VA (Metropolitan Statistical Area)",44075,42360,43191,44837,47427,46775,47962
"16860","Chattanooga, TN-GA (Metropolitan Statistical Area)",38890,37128,38191,38859,39726,39103,39890
"16940","Cheyenne, WY (Metropolitan Statistical Area)",46633,44440,44319,46932,46690,45457,46391
"16980","Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",44289,41394,41379,42315,43765,43230,43998
"17020","Chico, CA (Metropolitan Statistical Area)",31950,31259,31427,32063,32590,33715,34041
"17140","Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",43113,41960,42492,44500,45802,45736,47005
"17300","Clarksville, TN-KY (Metropolitan Statistical Area)",39419,39469,39831,41446,39570,39126,38545
"17420","Cleveland, TN (Metropolitan Statistical Area)",38902,37291,37289,38840,40907,41552,42060
"17460","Cleveland-Elyria, OH (Metropolitan Statistical Area)",46090,44358,44824,46604,47894,47367,48497
"17660","Coeur d'Alene, ID (Metropolitan Statistical Area)",33635,33295,33447,34504,35516,35896,36321
"17780","College Station-Bryan, TX (Metropolitan Statistical Area)",30702,30093,30803,31171,32190,32365,33374
"17820","Colorado Springs, CO (Metropolitan Statistical Area)",38825,38519,38437,38883,38797,38066,38752
"17860","Columbia, MO (Metropolitan Statistical Area)",40436,40911,39396,39625,40639,40949,40986
