State Name,State Name [State] 2013-14,ANSI/FIPS State Code [State] Latest available year,School Administration - Salaries (E215) [State Finance] 2012-13,School Administration - Salaries (E215) [State Finance] 2011-12,School Administration - Salaries (E215) [State Finance] 2010-11,School Administration - Salaries (E215) [State Finance] 2009-10,School Administration - Salaries (E215) [State Finance] 2008-09,School Administration - Salaries (E215) [State Finance] 2007-08,School Administration - Salaries (E215) [State Finance] 2006-07,School Administration - Salaries (E215) [State Finance] 2005-06,School Administration - Salaries (E215) [State Finance] 2004-05
ALABAMA,AL,="01",278532794,274038981,277309033,280776328,282653574,284516456,264651864,241821448,218705589
ALASKA,AK,="02",79891087,78528027,78165066,75052699,69752634,65710112,62380029,60529665,58192411
ARIZONA,AZ,="04",308301228,299968048,280884545,291270090,306330487,292895440,279831030,260069781,245955650
ARKANSAS,AR,="05",180087073,176169225,175761389,171815993,170542081,168392425,166220588,157962962,151681547
CALIFORNIA,CA,="06",2618813561,2605426991,2622872760,2707883115,2824039341,2856438226,2721726633,2518366818,2400656701
COLORADO,CO,="08",386739987,366727478,366180605,375110918,367059537,351885902,327401235,309060835,295573336
CONNECTICUT,CT,="09",362483347,352846909,344118348,340049560,338180281,324658235,306743969,293988633,280223507
DELAWARE,DE,10,68411648,66642053,57212310,56766545,56528961,55026475,52874704,51300458,48378386
DISTRICT OF COLUMBIA,DC,11,85935786,89083036,81185954,76356603,88636110,51103841,52842115,48015949,47896647
FLORIDA,FL,12,992656197,975901182,992838828,984555309,1001423108,1029400738,975530531,900819137,832510763
GEORGIA,GA,13,689174556,687752785,688598622,698640501,712074026,683933441,641423491,599547002,563948505
HAWAII,HI,15,87506691,87189767,89435477,77733657,87081588,86265418,90322452,80148076,71964977
IDAHO,ID,16,80072276,76942510,77777199,80101802,81031580,78757980,73662195,71191178,67619747
ILLINOIS,IL,17,847549454,829396779,830058033,839018019,818478035,794425951,763663740,725118612,702829492
INDIANA,IN,18,379683228,374567778,367066933,380057846,376710709,370724262,355062901,344492874,333108068
IOWA,IA,19,210964699,205343708,197660799,202315358,199993097,192257168,185365339,175453344,155157955
KANSAS,KS,20,209126655,204752162,204877330,209617424,216825421,205662430,196079480,185272231,172719140
KENTUCKY,KY,21,261406017,257802087,246850733,245990016,243127409,238902984,222948130,211904309,199727246
LOUISIANA,LA,22,294846942,292413415,295632409,290120720,288526690,261447925,231290247,207209460,218383228
MAINE,ME,23,89550198,86203303,85454618,85404765,84370157,84156087,79227753,77598025,74468689
MARYLAND,MD,24,549986409,550005981,555755575,557782375,563366947,526031861,483410302,454071425,410169694
MASSACHUSETTS,MA,25,478419112,445346439,428230693,427640115,435551517,420259621,405778789,392206297,382792217
MICHIGAN,MI,26,513189035,514132290,530961621,563769279,599939291,599924843,610541570,616808619,633650724
MINNESOTA,MN,27,292025372,280951539,279633836,279931002,280529599,279275334,270229712,260516176,245060060
MISSISSIPPI,MS,28,176281982,173132331,168140960,175354158,171730570,166574587,157664766,147648122,139553456
MISSOURI,MO,29,387175353,376659866,369023729,381901006,379401643,364766686,337918322,323587124,309809467
MONTANA,MT,30,59535899,59577219,58897085,58337582,56465802,55293876,52714240,49992768,48891858
NEBRASKA,NE,31,122987873,122551183,118582765,117006920,115110437,111486683,108894044,102177956,98090751
NEVADA,NV,32,180475772,182427312,184135357,188154002,187529862,178692068,165639524,153618838,138389299
NEW HAMPSHIRE,NH,33,93549516,92625557,92140209,90643932,90247542,86770405,82580621,79103008,76433605
NEW JERSEY,NJ,34,805486558,789036760,775310660,798492697,773443338,1036901103,999663485,970395042,939808410
NEW MEXICO,NM,35,133074448,131060246,133883723,136744046,140465067,129231191,141129204,133129527,125747215
NEW YORK,NY,36,1320155923,1298846527,1299009327,1345067444,1410866319,1342248352,1252888053,1186269536,1223687526
NORTH CAROLINA,NC,37,591353900,573382457,586906561,588245824,607991691,564045050,555805697,512378992,491128333
NORTH DAKOTA,ND,38,43407708,40525994,37991724,36187927,35109836,32476760,30799326,29674303,28490403
OHIO,OH,39,644555249,652629649,667647318,663611180,661644013,648752361,637401236,630502831,618184619
OKLAHOMA,OK,40,215661927,206420126,199897428,206775746,206426923,201758527,194788087,184097483,172293986
OREGON,OR,41,216367661,213986528,221296386,220231991,228728487,221154043,208233671,196352670,189900258
PENNSYLVANIA,PA,42,690310297,701370647,703351886,679164565,664833956,646698964,616342884,603876677,581706418
RHODE ISLAND,RI,44,69649264,71076695,70068511,73056723,70681151,68072787,69452173,67525930,62882286
SOUTH CAROLINA,SC,45,315130080,294306232,289467297,291803397,298260241,282130249,261279920,248857827,231863060
SOUTH DAKOTA,SD,46,39840773,38891399,40277280,38696291,39271908,37547552,35838566,34815375,33477552
TENNESSEE,TN,47,364350051,351513368,341360074,333175886,328708231,314779855,294608431,277915685,270221868
TEXAS,TX,48,2021016088,1949163758,1982233833,1933194035,1872592446,1777790125,1650796180,1545608819,1470738330
UTAH,UT,49,166789065,160199946,154778004,152975309,150982814,140425567,128845445,119060886,112752763
VERMONT,VT,50,68054923,66279789,67298512,67540186,65566956,61946771,59349536,55589489,54674687
VIRGINIA,VA,51,580461598,569165943,560036366,571092357,578898356,554356270,530477155,496821841,474284177
WASHINGTON,WA,53,442828548,427580880,425151899,420767557,424977047,403910327,383332226,371470522,358373719
WEST VIRGINIA,WV,54,112720003,111915058,108564701,106992079,106830532,102028569,96861467,93062507,90875941
WISCONSIN,WI,55,318387940,314308262,320083846,317572401,314667757,304102905,294808688,288132617,281121685
WYOMING,WY,56,52884130,51482022,50048697,49541351,47550832,44941569,42550091,36769990,33191009
