State Name,State Name [State] 2013-14,ANSI/FIPS State Code [State] Latest available year,Total Capital Outlay Expenditures (TE10+E61) [State Finance] 2012-13,Total Capital Outlay Expenditures (TE10+E61) [State Finance] 2011-12,Total Capital Outlay Expenditures (TE10+E61) [State Finance] 2010-11,Total Capital Outlay Expenditures (TE10+E61) [State Finance] 2009-10,Total Capital Outlay Expenditures (TE10+E61) [State Finance] 2008-09,Total Capital Outlay Expenditures (TE10+E61) [State Finance] 2007-08,Total Capital Outlay Expenditures (TE10+E61) [State Finance] 2006-07,Total Capital Outlay Expenditures (TE10+E61) [State Finance] 2005-06,Total Capital Outlay Expenditures (TE10+E61) [State Finance] 2004-05
ALABAMA,AL,="01",645701492,582173390,565984948,731677034,927145315,819031011,690125089,668741353,514083614
ALASKA,AK,="02",248746090,145341164,181340970,231689044,304504163,307659808,258665867,236959311,268713180
ARIZONA,AZ,="04",913055468,922249137,864846560,843558962,1345511504,1613709775,1443178658,1130384197,843120647
ARKANSAS,AR,="05",539361090,625077722,657233953,664273107,473437920,507487450,513872158,495865592,436986268
CALIFORNIA,CA,="06",6108855136,6693286084,6763699255,7077190207,8844861963,9334457530,9980744774,9977703200,10001834121
COLORADO,CO,="08",763570352,706235788,835266118,1017840586,1048755852,1164357307,1089558010,1028763584,923636121
CONNECTICUT,CT,="09",684954967,680346133,563519429,784476740,893666724,936569536,1151073970,1088436732,1038302111
DELAWARE,DE,10,162009522,160863836,189765785,196727445,258086910,250227301,254456279,232877090,181155782
DISTRICT OF COLUMBIA,DC,11,430681420,350946678,391651977,79701192,474139914,291278068,240729454,144105352,150931592
FLORIDA,FL,12,1411456855,1837261784,2217064023,2940511303,4523261118,5972496273,5993350831,4854445864,3803389795
GEORGIA,GA,13,1633451105,1566185288,1367893929,1812289836,2714767766,2707859327,2271939336,1929994744,1794899096
HAWAII,HI,15,146656200,124095948,85475376,73647062,69863624,95728696,92866147,75964946,62654834
IDAHO,ID,16,143633691,135343412,160083112,249386485,352323008,367045069,316781602,191698572,182680854
ILLINOIS,IL,17,2089653850,2169706818,2093496729,2518862656,2884295546,2559861340,2082239559,2013087266,2137491565
INDIANA,IN,18,902223847,943637013,871862760,952504229,929150333,998087854,865692933,972014981,976112036
IOWA,IA,19,790085352,905979652,871157132,816778655,677328472,677094463,652286799,596833384,538312701
KANSAS,KS,20,635862939,682545749,869746441,393845695,409651027,373129923,378570358,326958113,272365888
KENTUCKY,KY,21,714091334,770827127,747269227,759083228,714321484,746605361,749958524,674546632,734588886
LOUISIANA,LA,22,674545848,744609848,812767308,793340276,829054219,799455060,629297115,460155799,353887073
MAINE,ME,23,99996237,121420805,172590024,185295531,156302991,137926500,93624288,109866906,120399836
MARYLAND,MD,24,985049502,1166855681,1022081891,1144039955,988894149,1386999546,1199904843,993616437,964314121
MASSACHUSETTS,MA,25,868910265,1117722377,758687610,727991754,793699229,928710272,618046099,1200362076,643310270
MICHIGAN,MI,26,1146632014,1376616289,1434833396,1373000627,1469392736,1503111029,1760624601,1993224425,2109243522
MINNESOTA,MN,27,1047441389,1069044298,1052204864,984573414,1215826576,1163743349,1067872741,1085449116,937735175
MISSISSIPPI,MS,28,199274990,270439619,281035556,291069380,333562466,274948087,294450245,241491527,201000360
MISSOURI,MO,29,858598871,894458950,854963025,943182671,1129253075,1079728876,926684468,759183999,709762979
MONTANA,MT,30,114729693,120771025,107204215,115639189,161935354,148479178,106771693,101493740,63236501
NEBRASKA,NE,31,298805566,348343397,356642559,350137327,449965277,414589664,347949606,241416890,242949852
NEVADA,NV,32,222213765,327173220,297154794,381734314,633569023,694725197,735270476,753521271,550475418
NEW HAMPSHIRE,NH,33,72624176,159997756,206275021,131283870,112508330,163877709,208008522,201594229,163782899
NEW JERSEY,NJ,34,916286391,912022308,855531551,1091477096,1433386859,1515062143,1911004047,1932541523,2206857058
NEW MEXICO,NM,35,421438095,516030272,510319997,571226795,722372634,495698954,332677241,375543923,461134133
NEW YORK,NY,36,1896908286,2097413521,2513775231,3085854299,2908659316,2459642443,2940768031,2193876888,2375025771
NORTH CAROLINA,NC,37,603732030,683544571,878592446,1022714490,1564983393,1829756454,1464124140,1240430323,955998679
NORTH DAKOTA,ND,38,224238980,160057929,123405594,140282348,95376492,87709202,90188750,92967697,88318214
OHIO,OH,39,2028349774,2467639064,2535351912,2510831833,2588849856,2546118682,2578929908,2165874956,2055169533
OKLAHOMA,OK,40,557951346,496205436,508085609,393435869,472557573,392689151,416186704,389926305,342973438
OREGON,OR,41,343352594,448211851,461337889,573746966,803068284,621513452,293278713,319231809,363865050
PENNSYLVANIA,PA,42,1624973058,1822156135,2271817672,2250684756,2468874557,2592304946,2575258540,2036128554,1949490773
RHODE ISLAND,RI,44,109484643,36925725,47874401,41726022,25522940,28682316,42599081,30489771,20534432
SOUTH CAROLINA,SC,45,845819277,889985739,985480555,1200465753,1317674171,1115482080,1263431603,981122844,928793169
SOUTH DAKOTA,SD,46,180111912,172738196,190228804,147831348,167298913,116282269,105388024,86270488,124532468
TENNESSEE,TN,47,545873229,664129350,641341115,606630350,636112984,710413651,566576343,552269800,468541754
TEXAS,TX,48,5472069351,5536571657,6556136019,8055550504,9293156948,8131050013,6654084414,6170450886,5591287921
UTAH,UT,49,767890245,746261750,701430904,697755355,891454774,919204062,644375122,511815892,471595076
VERMONT,VT,50,55963485,46008592,63944793,65109697,64522291,84128592,70715727,58948445,63342619
VIRGINIA,VA,51,1094942849,1078785553,1075075458,1126998230,1418909890,1528758173,1519355512,1298751638,1180302723
WASHINGTON,WA,53,1438049041,1545988804,1514772974,1509631613,1811235746,1800481708,1630529118,1428053372,1292121815
WEST VIRGINIA,WV,54,58326385,69610715,65730359,62733434,83357064,71905677,54208417,50085788,52517234
WISCONSIN,WI,55,521892498,450302894,539098236,590170677,631446344,650536856,448496642,511547899,456157556
WYOMING,WY,56,213918497,213239749,234410290,340678666,372510118,309897250,246693620,168212521,158465284
